"uCode","Rank","EI","I0","I1","I0.1","I0.2","I0.3","I0.4","I1.1","I1.2","I1.3","I1.4","I1.5"
"ZMB",1,84.71,86.61,82.81,56.18,100,99.67,90.6,100,100,100,100,14.05
"CMR",2,74.28,85.09,63.47,100,92.86,100,47.5,91.8,93.97,99.52,22.17,9.89
"TGO",3,66.5,70.54,62.46,73.65,98.16,98.95,11.4,93.39,85.6,57.5,75.81,0
"GHA",4,59.65,65.79,53.51,62.2,95.65,92.73,12.59,78.56,79.46,92.07,11.2,6.24
"BEN",5,53.84,72.87,34.81,74.8,99.27,99.74,17.64,81.71,78.01,2.4,11.65,0.31
"CIV",6,50.27,60.87,39.66,47.12,92.49,70.5,33.37,68.91,70.65,36.98,3.47,18.31
"SEN",7,45.37,61.22,29.51,76.17,92.24,76.48,0,54.43,52.57,3.32,1.23,36
"BWA",8,45.26,65.24,25.27,72.52,15.15,73.3,100,38.15,42.52,0,0,45.68
"TUN",9,33.77,42.25,25.28,58.9,25.72,0,84.39,13.96,15.4,0.83,2.35,93.86
"DZA",10,20.84,20.71,20.96,0,0,0,82.85,0,0,0.21,4.59,100
